Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.89     0.00  1199998     0.00     0.00  std::vector<int, std::allocator<int> >::_S_relocate(int*, int*, int*, std::allocator<int>&)
  0.00      0.89     0.00  1199998     0.00     0.00  int* std::__relocate_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  0.00      0.89     0.00  1199995     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.89     0.00  1199994     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.89     0.00   600052     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator*() const
  0.00      0.89     0.00   600001     0.00     0.00  std::deque<int, std::allocator<int> >::empty() const
  0.00      0.89     0.00   600000     0.00     0.00  void __gnu_cxx::new_allocator<int>::destroy<int>(int*)
  0.00      0.89     0.00   600000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::top()
  0.00      0.89     0.00   600000     0.00     0.00  std::stack<int, std::deque<int, std::allocator<int> > >::push(int const&)
  0.00      0.89     0.00   600000     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.00      0.89     0.00   599999     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::difference_type __gnu_cxx::operator-<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  0.00      0.89     0.00   599999     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.89     0.00   599995     0.00     0.00  reverseDfs(int, std::vector<bool, std::allocator<bool> >&, std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&)
  0.00      0.89     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.89     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.89     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
  0.00      0.89     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.89     0.00   599995     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.89     0.00   599995     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.89     0.00   599995     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.89     0.00   599995     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.89     0.00   599993     0.00     0.00  dfs(int, std::vector<bool, std::allocator<bool> >&, std::stack<int, std::deque<int, std::allocator<int> > >&, std::vector<std::deque<int, std::allocator<int> >, std::allocator<std::deque<int, std::allocator<int> > > >&)
  0.00      0.89     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::size() const
  0.00      0.89     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::max_size() const
  0.00      0.89     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.89     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_M_pop_back_aux()
  0.00      0.89     0.00     4687     0.00     0.00  void std::deque<int, std::allocator<int> >::_M_push_back_aux<int const&>(int const&)
  0.00      0.89     0.00     4687     0.00     0.00  std::deque<int, std::allocator<int> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.89     0.00     4687     0.00     0.00  std::operator-(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&)
  0.00      0.89     0.00       60     0.00     0.00  int&& std::forward<int>(std::remove_reference<int>::type&)
  0.00      0.89     0.00       30     0.00     0.00  int** std::__niter_base<int**>(int**)
  0.00      0.89     0.00       22     0.00     0.00  __gnu_cxx::__normal_iterator<std::pair<int, int>*, std::vector<std::pair<int, int>, std::allocator<std::pair<int, int> > > >::base() const
  0.00      0.89     0.00       20     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int>(int*, int&&)
  0.00      0.89     0.00       20     0.00     0.00  std::_Deque_iterator<int, int&, int*>::operator++()
  0.00      0.89     0.00       20     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int>(std::allocator<int>&, int*, int&&)
  0.00      0.89     0.00       20     0.00     0.00  int& std::deque<int, std::allocator<int> >::emplace_back<int>(int&&)
  0.00      0.89     0.00       20     0.00     0.00  std::deque<int, std::allocator<int> >::push_back(int&&)
